Fitur,Skor Importance
Persentase Penduduk Miskin (P0) Menurut Kabupaten/Kota (Persen),0.4779907356220013
Pengeluaran per Kapita Disesuaikan (Ribu Rupiah/Orang/Tahun),0.17300783123441044
Umur Harapan Hidup (Tahun),0.10911909568727354
PDRB atas Dasar Harga Konstan menurut Pengeluaran (Rupiah),0.05045204943151682
Indeks Pembangunan Manusia,0.049012499468731124
Persentase rumah tangga yang memiliki akses terhadap sanitasi layak,0.037012798184954177
Rata-rata Lama Sekolah Penduduk 15+ (Tahun),0.03168715887263593
Persentase rumah tangga yang memiliki akses terhadap air minum layak,0.02694923073720118
Tingkat Partisipasi Angkatan Kerja,0.023866597914185383
Tingkat Pengangguran Terbuka,0.020902002847090175
